areaNm,areaNm_full,cropsSpchcknCode,crpstDsgnRegistId,exam1,exam2,exam3,exam4,exam5,exam6,exam7,examForm,examinTmrd,exprAreaCode,exprSpchcknCode,exprYear,pajong,rnum,sortSn,spciesCode,spciesNm,srchExaminTmrd,totCnt
운봉,운봉(국립식량과학원),001,00122018001899,17.9,497,118.6,58914, , , ,1,6,0330,002,2018,2018-04-20,25,8,R12079,운광,6,75
상주,상주(국립식량과학원),001,00122018001904,15,417,112,46509, , , ,1,6,0329,002,2018,2018-04-25,26,8,R12079,운광,6,75
춘천,춘천(강원특별자치도 농업기술원),001,00122018001917,14.2,368.5,106.5,39245, , , ,1,6,0333,002,2018,2018-04-25,27,8,R12079,운광,6,75
강릉,강릉(강원특별자치도 농업기술원),001,00122018001921,15.1,370.1,122.9,45485, , , ,1,6,0344,002,2018,2018-04-20,28,8,R12079,운광,6,75
제천,제천(충청북도 농업기술원),001,00122018001930,14.5,403.1,103.1,41560, , , ,1,6,0337,002,2018,2018-04-20,29,8,R12079,운광,6,75
안동,안동(경상북도 농업기술원),001,00122018001952,15.6,371,76.5,28338, , , ,1,6,0351,002,2018,2018-04-20,30,8,R12079,운광,6,75
철원,철원(국립식량과학원),001,00122018001890,18.1,501.8,58.7,29476, , , ,1,6,0331,002,2018,2018-04-20,31,8,R12080,조운,6,75
상주,상주(국립식량과학원),001,00122018001903,17.2,478,77,36857, , , ,1,6,0329,002,2018,2018-04-25,32,8,R12085,설레미,6,75
강릉,강릉(강원특별자치도 농업기술원),001,00122018001922,14.1,345.6,108.5,37496, , , ,1,6,0344,002,2018,2018-04-20,33,8,R12086,오대1호,6,75
진부,진부(국립식량과학원),001,00122018001964,15.4,512,73,37376, , , ,1,6,0336,002,2018,2018-04-20,34,8,R12092,한설,6,75
강릉,강릉(강원특별자치도 농업기술원),001,00122018001920,16.2,397.1,108.7,43160, , , ,1,6,0344,002,2018,2018-04-20,35,8,R12093,오륜,6,75
철원,철원(국립식량과학원),001,00122018001894,16.4,458.9,71.2,32653, , , ,1,6,0331,002,2018,2018-04-20,36,8,R13002,오대벼,6,75
운봉,운봉(국립식량과학원),001,00122018001902,19.4,540,75.3,40688, , , ,1,6,0330,002,2018,2018-04-20,37,8,R13002,오대벼,6,75
상주,상주(국립식량과학원),001,00122018001906,15.5,431,76,32574, , , ,1,6,0329,002,2018,2018-04-25,38,8,R13002,오대벼,6,75
화성,화성(경기도 경기도농업기술원),001,00122018001914,14,333.3,84.7,28233, , , ,1,6,0332,002,2018,2018-04-20,39,8,R13002,오대벼,6,75
춘천,춘천(강원특별자치도 농업기술원),001,00122018001918,14.1,357.9,70.6,25268, , , ,1,6,0333,002,2018,2018-04-25,40,8,R13002,오대벼,6,75
강릉,강릉(강원특별자치도 농업기술원),001,00122018001919,13.8,335.8,95.5,32066, , , ,1,6,0344,002,2018,2018-04-20,41,8,R13002,오대벼,6,75
제천,제천(충청북도 농업기술원),001,00122018001927,14.6,405.9,77.6,31496, , , ,1,6,0337,002,2018,2018-04-20,42,8,R13002,오대벼,6,75
안동,안동(경상북도 농업기술원),001,00122018001951,15.2,361,61.2,22073, , , ,1,6,0351,002,2018,2018-04-20,43,8,R13002,오대벼,6,75
진부,진부(국립식량과학원),001,00122018001961,16.8,466,68.7,32014, , , ,1,6,0336,002,2018,2018-04-20,44,8,R13002,오대벼,6,75
진부,진부(국립식량과학원),001,00122018001963,22.5,489,73,35697, , , ,1,6,0336,002,2018,2018-04-20,45,8,R13003,진부올벼,6,75
영덕,영덕(국립식량과학원),001,00122018001909, , , , ,95.1,17.5,417,1,6,0338,002,2018,2018-04-20,46,8,R22009,화영벼,6,75
영덕,영덕(국립식량과학원),001,00122018001908, , , , ,97.8,16.3,388,1,6,0338,002,2018,2018-04-20,47,8,R22083,삼덕,6,75
영덕,영덕(국립식량과학원),001,00122018001910, , , , ,99.9,17.1,407,1,6,0338,002,2018,2018-04-20,48,8,R23004,화성벼,6,75
춘천,춘천(강원특별자치도 농업기술원),001,00122018001915, , , , ,93.3,15.4,400.2,1,6,0333,002,2018,2018-04-25,49,8,R32001,일품벼,6,75
청원,청원(충청북도 농업기술원),001,00122018001925, , , , ,83,16,380.8,1,6,2325,002,2018,2018-04-25,50,8,R32001,일품벼,6,75
안동,안동(경상북도 농업기술원),001,00122018001954, , , , ,95.3,16.7,396.3,1,6,0351,002,2018,2018-04-20,51,8,R32001,일품벼,6,75
화성,화성(경기도 경기도농업기술원),001,00122018001913,15.7,373.8,83.7,31287, , , ,1,6,0332,002,2018,2018-04-20,52,8,R32003,대안벼,6,75
춘천,춘천(강원특별자치도 농업기술원),001,00122018001916, , , , ,91.9,14.9,393.3,1,6,0333,002,2018,2018-04-25,53,8,R32003,대안벼,6,75
청원,청원(충청북도 농업기술원),001,00122018001924, , , , ,84,17,404.6,1,6,2325,002,2018,2018-04-25,54,8,R32003,대안벼,6,75
익산,익산(전북특별자치도 농업기술원),001,00122018001936, , , , ,98.5,14.6,347.5,1,6,0326,002,2018,2018-04-30,55,8,R32006,일미벼,6,75
계화,계화(국립식량과학원),001,00122018001896, , , , ,80,12.5,298,1,6,0343,002,2018,2018-04-30,56,8,R32011,남평벼,6,75
영덕,영덕(국립식량과학원),001,00122018001907, , , , ,88.7,16.4,390,1,6,0338,002,2018,2018-04-20,57,8,R32011,남평벼,6,75
예산,예산(충청남도 농업기술원),001,00122018001934, , , , ,104.7,17,404.6,1,6,0350,002,2018,2018-04-25,58,8,R32011,남평벼,6,75
익산,익산(전북특별자치도 농업기술원),001,00122018001938, , , , ,96.9,14.6,347.5,1,6,0326,002,2018,2018-04-30,59,8,R32011,남평벼,6,75
안동,안동(경상북도 농업기술원),001,00122018001953, , , , ,101.3,20.5,486.7,1,6,0351,002,2018,2018-04-20,60,8,R32015,새추청,6,75
계화,계화(국립식량과학원),001,00122018001898, , , , ,96,11.5,273,1,6,0343,002,2018,2018-04-30,61,8,R32016,신동진,6,75
익산,익산(전북특별자치도 농업기술원),001,00122018001937, , , , ,106.6,13,309.4,1,6,0326,002,2018,2018-04-30,62,8,R32016,신동진,6,75
계화,계화(국립식량과학원),001,00122018001895, , , , ,95.7,11.2,267,1,6,0343,002,2018,2018-04-30,63,8,R32068,동진1호,6,75
화성,화성(경기도 경기도농업기술원),001,00122018001912, , , , ,108.9,15.2,361.9,1,6,0332,002,2018,2018-04-20,64,8,R32082,삼광,6,75
청원,청원(충청북도 농업기술원),001,00122018001926, , , , ,88.3,17.2,409.4,1,6,2325,002,2018,2018-04-25,65,8,R32082,삼광,6,75
예산,예산(충청남도 농업기술원),001,00122018001931, , , , ,102.5,14.2,338,1,6,0350,002,2018,2018-04-25,66,8,R32082,삼광,6,75
예산,예산(충청남도 농업기술원),001,00122018001935, , , , ,106.8,14.4,342.7,1,6,0350,002,2018,2018-04-25,67,8,R32084,새누리,6,75
